,index,1. open,2. high,3. low,4. close
324,2019-08-02,55.1000,55.4,53.3400,53.62
325,2019-08-01,57.9200,58.6,54.8400,55.36
326,2019-07-31,57.0300,57.61,55.5100,56.39
327,2019-07-30,56.1600,57.26,55.3700,57.05
328,2019-07-29,56.5500,56.78,55.6200,56.16
329,2019-07-26,56.3600,57.08,56.1800,56.84
330,2019-07-25,57.6000,57.78,55.8700,56.5
331,2019-07-24,55.5400,57.81,55.4500,57.62
332,2019-07-23,55.2000,55.83,55.1900,55.71
333,2019-07-22,55.4000,55.94,54.6600,55.22
334,2019-07-19,55.5600,55.75,54.7500,55.24
335,2019-07-18,54.0200,55.43,53.7000,55.36
336,2019-07-17,55.4600,55.82,54.0700,54.31
337,2019-07-16,54.7900,55.91,54.4200,55.68
338,2019-07-15,55.5100,55.55,53.8500,54.83
339,2019-07-12,55.4700,55.87,55.3000,55.48
340,2019-07-11,55.2600,55.63,54.8200,55.44
341,2019-07-10,55.3100,55.6,54.1300,54.98
342,2019-07-09,54.0100,54.97,53.8100,54.64
343,2019-07-08,54.7000,55.06,54.2100,54.34
344,2019-07-05,54.0500,55.13,53.9400,54.87
345,2019-07-03,54.4300,54.92,54.1000,54.32
346,2019-07-02,54.7300,54.98,53.9800,54.49
347,2019-07-01,56.9000,57.13,54.9700,55.12
348,2019-06-28,54.4700,55.95,54.1600,55.88
349,2019-06-27,54.2500,55.32,53.8300,54.37
350,2019-06-26,51.9100,54.28,51.9100,54.21
351,2019-06-25,51.3800,52.04,51.0900,51.39
352,2019-06-24,52.1900,52.89,51.5400,51.6
353,2019-06-21,52.5800,53.19,51.9000,52.66
354,2019-06-20,50.5300,52.29,50.5100,51.95
355,2019-06-19,49.7600,50.4,49.3650,49.66
356,2019-06-18,48.8000,50.05,48.8000,49.64
357,2019-06-17,47.9800,49.0,47.7500,48.71
358,2019-06-14,47.8000,48.0,47.3300,47.96
359,2019-06-13,47.4400,48.1,47.1300,47.9
360,2019-06-12,47.6400,47.89,46.9100,46.97
361,2019-06-11,48.1400,48.47,47.7700,47.77
362,2019-06-10,47.4700,48.47,47.4200,47.68
363,2019-06-07,48.3900,48.65,46.3250,46.99
364,2019-06-06,47.6500,48.22,46.8100,48.1
365,2019-06-05,48.8600,48.86,47.0200,47.69
366,2019-06-04,47.4900,48.66,47.1400,48.49
367,2019-06-03,46.1100,47.25,46.0200,47.13
368,2019-05-31,46.2100,46.4,45.4700,45.99
369,2019-05-30,48.7400,48.89,46.9500,47.11
370,2019-05-29,48.2500,49.1,48.0200,48.99
371,2019-05-28,50.5900,50.75,48.9500,49.0
372,2019-05-24,50.3700,50.77,49.7700,50.29
373,2019-05-23,51.0800,51.16,49.7100,50.14
374,2019-05-22,52.9300,53.08,51.7400,51.92
375,2019-05-21,52.5900,53.78,52.4800,53.28
376,2019-05-20,51.7000,52.31,51.3400,52.12
377,2019-05-17,52.3600,52.61,51.7700,51.95
378,2019-05-16,51.3000,53.25,51.3000,52.86
379,2019-05-15,50.6700,51.45,50.1900,51.19
380,2019-05-14,51.0000,51.66,50.6900,51.31
381,2019-05-13,52.3100,52.87,50.6000,50.72
382,2019-05-10,52.9900,53.72,52.0300,53.15
383,2019-05-09,55.1700,55.72,52.5000,52.96
384,2019-05-08,57.8800,58.14,54.9600,55.23
385,2019-05-07,58.7500,59.5,57.5300,59.43
386,2019-05-06,59.2500,59.67,58.4000,59.49
387,2019-05-03,59.2600,60.18,59.2200,59.96
388,2019-05-02,60.0300,60.6,58.1800,58.69
389,2019-05-01,61.1000,61.73,59.9500,59.95
390,2019-04-30,61.4800,62.2,60.8200,60.87
391,2019-04-29,60.5000,61.37,60.2700,60.99
392,2019-04-26,60.2900,61.17,60.0000,60.39
393,2019-04-25,59.7600,61.47,59.5500,60.65
394,2019-04-24,61.0500,61.35,59.4600,59.5
395,2019-04-23,61.2900,61.52,60.3900,61.06
396,2019-04-22,60.3600,61.4,60.2700,61.13
397,2019-04-18,60.2500,60.82,59.6900,59.81
398,2019-04-17,60.7000,61.14,60.1800,60.24
399,2019-04-16,60.4900,60.6,59.4900,60.02
400,2019-04-15,61.4900,61.78,60.2900,60.54
401,2019-04-12,63.8200,63.95,61.4000,61.59
402,2019-04-11,63.8500,64.53,63.0600,63.11
403,2019-04-10,62.3500,63.99,62.0500,63.6
404,2019-04-09,63.0300,63.4,61.8800,62.16
405,2019-04-08,63.5800,63.67,62.6400,63.36
406,2019-04-05,61.3900,63.5,61.3900,63.47
407,2019-04-04,60.4300,61.88,60.2100,61.35
408,2019-04-03,60.3800,61.16,60.1300,60.38
409,2019-04-02,60.6900,60.88,59.3700,59.92
410,2019-04-01,60.4600,61.25,59.7200,61.05
411,2019-03-29,61.4000,61.53,59.7100,59.85
412,2019-03-28,61.7900,62.28,60.6000,60.95
413,2019-03-27,61.7000,62.51,61.3800,62.19
414,2019-03-26,61.8200,62.83,61.2400,61.96
415,2019-03-25,61.1300,61.44,60.3600,61.17
416,2019-03-22,62.1200,62.5,60.6300,61.3
417,2019-03-21,62.0300,63.35,61.7100,62.79
418,2019-03-20,61.7900,62.74,60.8200,62.19
419,2019-03-19,62.4000,63.04,61.7900,62.03
420,2019-03-18,60.8100,62.2,60.8000,62.08
421,2019-03-15,59.4500,61.27,59.4000,60.45
422,2019-03-14,59.6500,59.93,58.9000,59.69
423,2019-03-13,59.0100,59.59,58.9300,59.57
424,2019-03-12,59.1600,60.0,58.8600,58.86
425,2019-03-11,57.8900,59.22,57.7300,59.2
426,2019-03-08,57.8200,57.94,56.8800,57.5
427,2019-03-07,59.9400,60.16,58.6900,58.84
428,2019-03-06,60.3900,60.74,59.6000,59.93
429,2019-03-05,61.7900,61.89,60.3100,60.81
430,2019-03-04,62.8800,62.88,60.3400,62.01
431,2019-03-01,62.1200,63.2,62.1200,62.68
432,2019-02-28,63.3800,63.44,61.6400,62.01
433,2019-02-27,64.6500,64.86,63.3300,63.4
434,2019-02-26,64.7800,65.31,64.5400,64.59
435,2019-02-25,64.9700,65.23,64.4500,64.75
436,2019-02-22,65.2800,65.861,64.7700,65.02
437,2019-02-21,65.0100,65.98,64.4700,64.66
438,2019-02-20,64.9900,65.95,64.4800,65.11
439,2019-02-19,64.5000,65.42,64.2600,65.01
440,2019-02-15,64.9000,65.46,64.5400,65.15
441,2019-02-14,63.3500,64.72,63.0400,64.04
442,2019-02-13,62.0500,63.81,61.8500,63.65
443,2019-02-12,62.3100,62.89,61.7100,61.87
444,2019-02-11,62.4400,63.44,61.2200,61.72
445,2019-02-08,63.3900,64.1,61.9200,62.72
446,2019-02-07,66.8400,68.74,63.0600,63.7
447,2019-02-06,66.9000,67.79,66.6900,66.87
448,2019-02-05,66.0000,67.18,65.8600,67.18
449,2019-02-04,65.4000,66.17,65.2100,65.91
450,2019-02-01,66.6800,67.2,65.3400,65.47
451,2019-01-31,66.1300,67.11,65.6500,66.26
452,2019-01-30,64.7700,65.82,64.1900,65.33
453,2019-01-29,63.5700,64.38,63.0000,64.14
454,2019-01-28,63.6300,64.42,63.1100,63.72
455,2019-01-25,63.6800,64.86,63.0200,64.08
456,2019-01-24,64.8700,65.08,62.9500,63.11
457,2019-01-23,65.0000,65.84,63.9800,64.85
458,2019-01-22,65.6700,66.53,64.6700,64.82
459,2019-01-18,66.3200,66.42,64.8600,66.09
460,2019-01-17,63.8000,65.82,63.4700,65.79
461,2019-01-16,64.0000,64.57,63.6500,64.34
462,2019-01-15,65.4800,65.55,63.9300,64.33
463,2019-01-14,64.2900,65.45,64.2900,64.88
464,2019-01-11,63.4500,66.14,63.2200,64.87
465,2019-01-10,64.1500,64.5,62.5000,63.63
466,2019-01-09,63.1600,65.26,62.6200,64.22
467,2019-01-08,62.6100,63.64,61.8900,62.87
468,2019-01-07,61.8700,63.07,61.1600,62.26
469,2019-01-04,59.9200,61.72,59.2500,61.65
470,2019-01-03,59.7100,60.04,58.0400,58.77
471,2019-01-02,58.1700,60.28,57.7900,59.64
472,2018-12-31,58.5100,59.22,57.9094,59.01
473,2018-12-28,59.4600,59.9182,57.8000,58.24
474,2018-12-27,57.0200,59.12,56.5500,59.1
475,2018-12-26,54.6300,58.38,54.4400,58.35
476,2018-12-24,55.3100,56.41,54.2900,54.32
477,2018-12-21,57.2100,58.73,56.4900,56.74
478,2018-12-20,57.8800,60.0,57.0900,57.42
479,2018-12-19,59.1900,61.15,58.1800,58.63
480,2018-12-18,59.0500,60.54,58.6700,58.96
481,2018-12-17,59.5100,60.36,58.1300,58.84
482,2018-12-14,61.5600,62.69,59.5500,59.87
483,2018-12-13,62.2000,62.65,61.5800,62.12
484,2018-12-12,62.2700,63.37,62.0200,62.04
485,2018-12-11,61.4500,62.43,60.8700,61.34
486,2018-12-10,61.0200,62.02,59.5500,60.98
487,2018-12-07,64.1300,66.1,61.1300,61.56
488,2018-12-06,62.8800,63.6341,61.8000,63.55
489,2018-12-04,64.7500,66.51,63.2800,63.34
490,2018-12-03,66.0000,66.88,63.2800,64.66
491,2018-11-30,64.7800,65.57,64.3000,65.16
492,2018-11-29,65.0400,65.99,64.8200,64.9
493,2018-11-28,63.6000,65.54,62.4200,65.28
494,2018-11-27,63.8400,64.6,63.4400,63.74
495,2018-11-26,62.8100,64.44,62.5900,64.18
496,2018-11-23,62.5300,63.1,61.7000,61.73
497,2018-11-21,62.2600,64.27,62.0100,63.73
498,2018-11-20,61.5900,63.07,60.6400,61.89
499,2018-11-19,65.0900,65.5,62.5900,63.41
500,2018-11-16,65.7200,66.39,64.9700,65.44
501,2018-11-15,63.5900,65.6,63.2600,65.36
502,2018-11-14,65.2800,65.86,63.1700,63.84
503,2018-11-13,65.5000,66.23,63.6500,64.17
504,2018-11-12,67.6800,67.92,65.7700,65.9
505,2018-11-09,67.1700,67.66,66.0800,67.18
506,2018-11-08,69.6200,69.77,67.2900,67.7
507,2018-11-07,68.9800,69.97,68.1000,69.82
508,2018-11-06,69.7500,69.76,67.9000,68.37
509,2018-11-05,70.5100,70.92,68.8400,69.76
510,2018-11-02,71.7900,73.0,69.2500,69.49
511,2018-11-01,69.8000,72.44,68.7500,71.08
512,2018-10-31,69.8900,72.12,69.8200,70.45
513,2018-10-30,67.4500,69.13,66.6400,68.8
514,2018-10-29,69.8500,70.46,66.2900,67.23
515,2018-10-26,69.0600,69.75,67.2900,68.86
