,index,1. open,2. high,3. low,4. close
462,2019-12-02,117.9800,118.07,116.7200,116.8
463,2019-11-29,117.2800,117.82,116.8800,117.13
464,2019-11-27,117.9900,118.61,117.6200,118.07
465,2019-11-26,118.3400,118.56,117.2000,117.79
466,2019-11-25,118.4300,119.22,117.9800,118.38
467,2019-11-22,119.0600,119.7,118.6000,118.63
468,2019-11-21,117.6100,118.95,117.2000,118.77
469,2019-11-20,116.4100,118.08,116.1200,117.34
470,2019-11-19,118.5000,118.8,116.0800,116.45
471,2019-11-18,119.8200,120.0,118.1400,118.55
472,2019-11-15,121.2200,121.39,120.1100,120.64
473,2019-11-14,121.8500,122.94,121.4000,121.96
474,2019-11-13,120.4600,122.41,120.3700,122.28
475,2019-11-12,121.2900,122.05,120.4800,120.96
476,2019-11-11,120.2000,121.39,120.0100,120.81
477,2019-11-08,120.9700,121.2,120.1600,120.93
478,2019-11-07,121.1300,122.0,120.3200,121.89
479,2019-11-06,121.9400,122.14,119.8000,119.9
480,2019-11-05,121.2300,122.45,120.7200,121.94
481,2019-11-04,117.2300,121.87,117.0200,121.57
482,2019-11-01,115.4900,116.62,114.0200,116.21
483,2019-10-31,115.8600,116.36,115.3200,116.14
484,2019-10-30,118.1800,118.18,115.5200,116.36
485,2019-10-29,117.9700,119.07,117.6900,118.13
486,2019-10-28,119.0800,119.51,117.6400,118.48
487,2019-10-25,117.7700,118.85,117.6900,118.67
488,2019-10-24,118.4700,118.81,117.3100,117.58
489,2019-10-23,117.4000,118.02,116.7800,117.98
490,2019-10-22,116.6300,118.56,116.4900,117.8
491,2019-10-21,115.5500,116.75,115.5500,116.61
492,2019-10-18,115.1400,115.58,114.7400,114.74
493,2019-10-17,115.6100,116.06,114.9200,115.35
494,2019-10-16,116.2300,116.66,115.0800,115.11
495,2019-10-15,115.8500,117.62,115.8000,116.31
496,2019-10-14,115.5800,116.39,115.4500,116.18
497,2019-10-11,115.6900,117.03,115.3600,116.15
498,2019-10-10,113.5300,114.79,113.3000,114.59
499,2019-10-09,112.5900,114.51,112.3000,113.14
500,2019-10-08,112.1100,112.75,111.6100,111.71
501,2019-10-07,113.9600,114.75,113.2300,113.26
502,2019-10-04,113.6000,114.0,112.5500,113.85
503,2019-10-03,112.0600,113.19,110.4200,113.15
504,2019-10-02,115.0600,115.11,111.6200,112.29
505,2019-10-01,119.2700,119.46,115.8800,116.01
506,2019-09-30,118.5400,119.42,118.4100,118.6
507,2019-09-27,119.5100,120.25,118.4500,118.6
508,2019-09-26,123.2600,123.5,120.0500,120.16
509,2019-09-25,123.4800,124.15,122.9100,123.51
510,2019-09-24,124.6700,124.72,123.2200,123.74
511,2019-09-23,123.5500,125.0,123.5500,124.9
512,2019-09-20,124.0000,124.82,123.6700,124.32
513,2019-09-19,124.7700,124.97,123.4200,123.66
514,2019-09-18,123.5500,124.21,123.0200,124.18
